"Source:","C:\Users\magzm\OneDrive - University of Cape Town\Documents\Engineering Design\Analog\Analog.kicad_sch"
"Date:","2023/03/06 06:53:57"
"Tool:","Eeschema (7.0.0)"
"Generator:","D:\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","2"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","R1","1k","Device:R","","~","",""
"2","1","U1","MCP9700x-ELT","Sensor_Temperature:MCP9700x-ELT","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/devicedoc/20001942g.pdf","",""
