Comment,Designator,Footprint,LCSC
4.7k,"R7,R8",R_0805_2012Metric,C101476
1uf,"C2,C3",C_0402_1005Metric,C14445
400m,R2,R_0402_1005Metric,C149632
MCP9701AT-E_TT,U5,SOT-23-3,C150830
10uf,"C1,C4,C6",C_0402_1005Metric,C15525
Dual Mosfet FS8205A,Q1,FB8205A,C16052
Battery Charger IC TP4056,J3,TP4056,C16581
10nF,C10,C_1206_3216Metric,C1846
SW_Push,SW1,SW_PUSH_6mm,C194405
1k,"R10,R11",R_0603_1608Metric,C21190
10k,R9,R_0805_2012Metric,C216802
CL21B104KCFNNNE,C5,CAPC2012X140N,C28233
Conn_01x02_Pin,"J10,J19,J2,J4,J5,J6,J7,J8",PinHeader_1x02_P2.54mm_Vertical,C3012204
 battery protection IC  DW01A-G,IC1,DW01A,C35306
MCP1700T-3302E_TT,U1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C39051
USB_B_Micro,J1,USB_Micro-B_Amphenol_10118194_Horizontal,C404969
CAT24C256WI-GT3,U6,ON_Semi-751BD-01-12_2008-O-0,C79987
HDC1080,U2,Texas_PWSON-N6,C82227
Red LED,D2,LED_0805_2012Metric,C84256
