"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Battery_Cell","BAT60JFILM:18650_Holder_SMD",""
"2","C1, C4, C6","3","10uf","Capacitor_SMD:C_0402_1005Metric",""
"3","C2, C3","2","1uf","Capacitor_SMD:C_0402_1005Metric",""
"4","C5","1","CL21B104KCFNNNE","BAT60JFILM:CAPC2012X140N",""
"5","C10","1","10nF","Capacitor_SMD:C_1206_3216Metric",""
"6","D1","1","Green LED","Diode_SMD:D_0805_2012Metric",""
"7","D2","1","Red LED","LED_SMD:LED_0805_2012Metric",""
"8","IC1","1"," battery protection IC  DW01A-G","BAT60JFILM:DW01A",""
"9","J1","1","USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal",""
"10","J2, J4, J5, J6, J7, J8, J10, J19","8","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"11","J3","1","Battery Charger IC TP4056","BAT60JFILM:TP4056",""
"12","J9","1","Conn_02x24_Counter_Clockwise","BAT60JFILM:STM32F051C6T6",""
"13","J12, J13","2","Conn_01x24_Socket","",""
"14","Q1","1","Dual Mosfet FS8205A","BAT60JFILM:FB8205A",""
"15","R1","1","1.6k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R2","1","400m","Resistor_SMD:R_0402_1005Metric",""
"17","R3, R4, R5","3","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",""
"18","R6","1","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",""
"19","R7, R8","2","4.7k","Resistor_SMD:R_0805_2012Metric",""
"20","R9","1","10k","Resistor_SMD:R_0805_2012Metric",""
"21","R10, R11","2","1k","Resistor_SMD:R_0603_1608Metric",""
"22","SW1","1","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"23","TP1, TP2, TP3","3","TestPoint","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm",""
"24","U1","1","MCP1700T-3302E_TT","BAT60JFILM:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",""
"25","U2","1","HDC1080","Package_SON:Texas_PWSON-N6",""
"26","U3","1","STLINK_UCT","BAT60JFILM:STLINK_UCT",""
"27","U5","1","MCP9701AT-E_TT","BAT60JFILM:SOT-23-3",""
"28","U6","1","CAT24C256WI-GT3","BAT60JFILM:ON_Semi-751BD-01-12_2008-O-0",""
